rest_seq,rest_name edit,rest_name,rest_score,rest_tel,rest_addr,rest_attitude,rest_longtitude,rest_time,rest_comment,food_name,rest_menu2,rest_menu3,rest_menu4
1,동원 게장 백반,동원 게장 백반,4.16,,,,,,,간장게장,게장백반: 10000원,꽃게찜: 변동,게장떡국: 10000원
2,광주 두꺼비 게장 백반,광주 두꺼비 게장 백반,4.36,,,,,,,간장게장,,,
3,치평동 민들레,민들레,4.43,,,,,,,간장게장,,,
4,백년미가 유촌점,백년미가 유촌점,4.19,,,,,,,간장게장,,,
5,광양읍 인서리 134-1번지 105호 광양시 전라남도 KR,백도 간장 게장,4.3,,,,,,,간장게장,꽃게장 4마리 : 84000원,꽃게장 2마리: 49000원,돌게장: 49000원
6,신안동 진식당,진식당,4.5,,,,,,,간장게장,간장게장 : 25000원,꽃게무침 : 25000원,꽃게탕: 45000원
7,김공순 달인게장,김공순 달인게장,4.7,,,,,,,간장게장,게장정식: 12000원,특 게장정식: 16000원 ,김치찌개: 7000원
8,나주곰탕하얀집 운암점,나주곰탕하얀집 운암점,4.8,,,,,,,곰탕,,,
9,새물 문흥골 곰탕,새물 문흥골 곰탕,4.1,,,,,,,곰탕,,,
10,산수동 오복식당,오복식당,3.9,,,,,,,곰탕,,,
11,본가 나주곰탕,본가 나주곰탕,4.65,,,,,,,곰탕,,,
12,종가집 가마솥 설렁탕,종가집 가마솥 설렁탕,4.7,,,,,,,곰탕,,,
13,우리 소나주 곰탕,우리 소나주 곰탕,4.89,,,,,,,곰탕,,,
14,원조나주곰탕 봉선관,원조나주곰탕 봉선관,4.2,,,,,,,곰탕,,,
15,남도인나주곰탕 풍암점,남도인나주곰탕 풍암점,4.3,,,,,,,곰탕,,,
16,송정 서울곱창,서울곱창,4.5,,,,,,,곱창,,,
17,대소양,대소양,4.3,,,,,,,곱창,,,
18,봉선동 광주곱창,광주곱창,4.5,,,,,,,곱창,,,
19,문흥동 오일장,오일장,4.2,,,,,,,굴비,,,
20,돌섬바다,돌섬바다,4.56,,,,,,,굴비,,,
21,홍아네,홍아네,4.8,,,,,,,굴비,,,
22,명가원,명가원,3.8,,,,,,,굴비,,,
23,풍암동 해오름,해오름,3.9,,,,,,,굴비,,,
24,온고당,온고당,4.8,,,,,,,굴비,,,
25,효덕동 조선옥,조선옥,4.8,,,,,,,굴비,,,
26,거목한정식,거목한정식,4.78,,,,,,,굴비,,,
27,제주물항1950,제주물항,4.6,,,,,,,굴비,,,
28,맛가,맛가,3.9,,,,,,,굴비,,,
29,상무옥,상무옥,4.3,,,,,,,떡갈비,,,
30,명가원,명가원,4.8,,,,,,,떡갈비,,,
31,쌍촌동 전라도원조떡갈비,전라도원조떡갈비,4.56,,,,,,,떡갈비,,,
32,유담떡갈비,유담떡갈비,4.7,,,,,,,떡갈비,,,
33,민속촌 작은집,민속촌 작은집,4.8,,,,,,,떡갈비,,,
34,북동가든,북동가든,4.7,,,,,,,떡갈비,,,
